"filename", "language", "C#", "Markdown", "XML", "JSON", "comment", "blank", "total"
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Models\OrderModel.cs", "C#", 11, 0, 0, 0, 0, 1, 12
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Models\ProductModel.cs", "C#", 25, 0, 0, 0, 0, 12, 37
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Models\RegisterRequestModel.cs", "C#", 15, 0, 0, 0, 0, 7, 22
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Models\ShoppingCartItemModel.cs", "C#", 19, 0, 0, 0, 0, 12, 31
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Services\IAuthService.cs", "C#", 14, 0, 0, 0, 0, 3, 17
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Services\ICategoryService.cs", "C#", 12, 0, 0, 0, 0, 2, 14
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Services\IOffertService.cs", "C#", 19, 0, 0, 0, 0, 4, 23
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Services\IOrderService.cs", "C#", 20, 0, 0, 0, 0, 3, 23
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Services\IProductService.cs", "C#", 22, 0, 0, 0, 0, 5, 27
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Services\IShoppingCartItemService.cs", "C#", 34, 0, 0, 0, 0, 7, 41
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\ViewModels\AppShellViewModel.cs", "C#", 32, 0, 0, 0, 0, 8, 40
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\ViewModels\BaseViewModel.cs", "C#", 93, 0, 0, 0, 8, 15, 116
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\ViewModels\CategorySelectedViewModel.cs", "C#", 161, 0, 0, 0, 0, 35, 196
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\ViewModels\HomeViewModel.cs", "C#", 183, 0, 0, 0, 4, 45, 232
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\ViewModels\LoginViewModel.cs", "C#", 96, 0, 0, 0, 0, 15, 111
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\ViewModels\OrderDetailViewModel.cs", "C#", 162, 0, 0, 0, 0, 26, 188
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\ViewModels\OrdersViewModel.cs", "C#", 134, 0, 0, 0, 0, 31, 165
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\ViewModels\ProductDetailViewModel.cs", "C#", 140, 0, 0, 0, 0, 24, 164
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\ViewModels\RegisterViewModel.cs", "C#", 159, 0, 0, 0, 2, 19, 180
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\ViewModels\ShoppingCartViewModel.cs", "C#", 196, 0, 0, 0, 0, 42, 238
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\CategorySelectedFolder\CategorySelectedPage.xaml", "XML", 0, 0, 45, 0, 0, 2, 47
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\CategorySelectedFolder\CategorySelectedPage.xaml.cs", "C#", 31, 0, 0, 0, 4, 6, 41
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\CategorySelectedFolder\ProductCategoryView.xaml", "XML", 0, 0, 27, 0, 0, 1, 28
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\CategorySelectedFolder\ProductCategoryView.xaml.cs", "C#", 13, 0, 0, 0, 0, 1, 14
"d:\GaezBakeryHouse\GaezBakeryHouse.App\GaezBakeryHouse.App\GaezBakeryHouse.App\Views\HomeFolder\BannersView.xaml", "XML", 0, 0, 33, 0, 0, 2, 35
